4/18/2017: $26
5/1/2017: $25  |  384.3
5/13/2017: $24.10 M |  366.2
5/26/2017: $25.15   |  366.3
6/11/2017: $24.00 M  |  378.5
6/22/2017: $23.01 M   | 379.3
7/8/2017: $25 M  |  351.9
7/22/2017: $24.05  |  390.2
7/31/2017: $24.85 |  372.5
8/21/2017: $24.70  | 263+57.5
9/2/2017:$24.51 M |  378.4 
9/13/2017: $25.19  M | 332.0
9/25/2017: $ 19.15 M   | 342.0
10/6/2017: $21.00  M | 383.2
10/14/2017: $20.00 |  273.6
10/18/2017: $23.80 M  | 386.4
10/29/2017: $23.80 M | 352.6
11/10/2017: $26.50  | 334.8
11/21/2017: $24.01  M  | 336.7
12/2/2017: $21.55 M | 291.1
12/13/2017: $21.50 M | 314.6
12/27/2017: $23.25 M | 313.1
1/7/2018: $24.25 M | 303.1
2/2/2018:$24.55 M | 291.8
2/14/2018: $21.40 M | 247.1
2/21/2018: $16.70 | 301.5
3/8/2018: $24.24 M |  313.7
3/22/2018: $24.51 M | 329.2
4/5/2018: $25.20 M | 302.0
4/17/2018: $24.10   M | 337.8
5/3/2018: $26.01 M | 171.4
5/12/2018: $15.17 M | 367.4
5/17/2018: $28.00 M | 334.2
6/4/2018: $26.55 M | 294.2
6/14/2018: $21.80 M | 363.2
7/3/2018: $29.15 M | 414.3 (41.0 mpg)
7/8/2018: $27.80 Cinncy | 386.1 (41.9)
7/10/2018: $26.75 Speedway | 305.1 (34.4)
7/21/2018: $24.01 Speedway | 316.2 (34.5)
8/7/2018: $25.25 Speedway | 308.5 (34.1)
8/18/2018: $26.25 Speedway | 357.3 (35.6)
9/2/2018: $28.45 Speedway | 347.6 (35.2)
9/18/2018: $28.40 Meijer | 314.8 (33.9)
10/13/2018: $26.50 Meijer | 238.8 (34.6)
10/23/2018: $18.05 Marathon | 271.1 (34)
11/4/2018: $20.56 Shell | 311.5 (35.1)
11/11/2018: $21.25 Marathon | 289.5 (32.4)
11/25/2018: $20 Speedway | 311.8 (31.1)
12/12/2018: $23.03 Marathon | 266.1 (33.0)
12/25/2018: $16.25  shell | 313.9 (32.3)
1/9/2019: $21.8 Speedway | 179.1 (32)
1/17/2019: $10.10 Meijer | 293.8 (31.9)
2/11/2019: $21.43 Marathon | 274.7 (32.9)
2/22/2019: $17.84 circle k | 272.2 (32.5)
3/6/2019: $18.50 circle k | 304.1 (32.8)
3/22/2019: $22.41 circle k | 296.4 (38.3) trip
3/30/2019: $18.60 circle k | 297.6 (35.7)
4/6/2019: $  23.70 Speedway | trip 339.1 (34.9)
4/19/2019: $ 25.73 Meijer | 329.8 (34.7)
5/11/2019: $26.66 circle k | 351.0 (36.2)
6/3/2019: $27.75  speedway | 360.4 (37.1)
6/20/2019: $27.08 Marathon | 411.6 (40.4)
6/28/2019: $28.80 Citgo | 362.1 (37.4)
7/11/2019: $29.18 Speedway | 383.8 (39.1)
7/18/2019: $29.22 Marathon | 443.8 (45.5)
7/20/2019: $28.46 BP up north | 385.8 (38.7)
7/26/2019: $27.07 Shell | 278.3 (35.5)
8/11/2019: $18.67 Speedway | 358.3 (36.6)
8/24/2019: $27.51 Shell | 436.8 (44.6)
8/25/2019: $25.07 Sunoco | 356.7 (39.1)
9/8/2019: $23.72 Speedway | 360.8 (36.3)
9/25/2019: $26.47 Marathon | 373.4 (39.5)
10/4/2019: $27.31 BP | 314.1 (37.2)
10/12/2019: $21.86 | 415.5 (41.1)
10/13/2019: $24.85 Shell | 325.6 (34.8)
10/23/2019: $23.51 marathon | 218.8 (32.5)
11/2/2019: $15.04 Family Fare | 258.9 (34.3)
